"","project_files","project_names","file_sizes","file_types","import_counts"
"1","ClassificationAndRegression/DecisionTrees/DecisionTreeClassification.py","DecisionTreeClassification",1803,"Python",1
"2","ClassificationAndRegression/DecisionTrees/ID3.py","ID3",3524,"Python",3
"3","ClassificationAndRegression/EnsembleMethods/AdaBoost.py","AdaBoost",1417,"Python",1
"4","ClassificationAndRegression/EnsembleMethods/BaggingClassifier.py","BaggingClassifier",1434,"Python",1
"5","ClassificationAndRegression/EnsembleMethods/GradientBoosting.py","GradientBoosting",2502,"Python",5
"6","ClassificationAndRegression/EnsembleMethods/RandomForest.py","RandomForest",1793,"Python",1
"7","ClassificationAndRegression/EnsembleMethods/VotingClassifier.py","VotingClassifier",1087,"Python",1
"8","ClassificationAndRegression/FeatureSelection/RecursiveFeatureElimination.py","RecursiveFeatureElimination",888,"Python",2
"9","ClassificationAndRegression/FeatureSelection/SelectionFromModel.py","SelectionFromModel",482,"Python",2
"10","ClassificationAndRegression/FeatureSelection/UnivariateFeatureSelection.py","UnivariateFeatureSelection",381,"Python",1
"11","ClassificationAndRegression/FeatureSelection/VarianceThreshold.py","VarianceThreshold",485,"Python",2
"12","ClassificationAndRegression/GaussianProcesses/GaussianProcessClassifier.py","GaussianProcessClassifier",680,"Python",1
"13","ClassificationAndRegression/GeneralizedLinearModels/ARDRegression.py","ARDRegression",1309,"Python",5
"14","ClassificationAndRegression/GeneralizedLinearModels/BayesianRidgeRegression.py","BayesianRidgeRegression",1279,"Python",5
"15","ClassificationAndRegression/GeneralizedLinearModels/DiabetesLinearRegression.py","DiabetesLinearRegression",558,"Python",3
"16","ClassificationAndRegression/GeneralizedLinearModels/ElasticNet.py","ElasticNet",1009,"Python",4
"17","ClassificationAndRegression/GeneralizedLinearModels/HuberRegression.py","HuberRegression",1759,"Python",5
"18","ClassificationAndRegression/GeneralizedLinearModels/LARS.py","LARS",1119,"Python",4
"19","ClassificationAndRegression/GeneralizedLinearModels/LARSLasso.py","LARSLasso",1190,"Python",4
"20","ClassificationAndRegression/GeneralizedLinearModels/LARSSinEstimation.py","LARSSinEstimation",977,"Python",4
