"","importer","imported"
"1","1","sklearn"
"2","2","math"
"3","2","operator"
"4","2","numpy"
"5","3","sklearn"
"6","4","sklearn"
"7","5","numpy"
"8","5","lightgbm"
"9","5","sklearn.experimental"
"10","5","sklearn.ensemble"
"11","5","sklearn"
"12","6","sklearn"
"13","7","sklearn"
"14","8","matplotlib.pyplot"
"15","8","sklearn"
"16","9","anceinpretrainedmodel."""""""
"17","9","sklearn"
"18","10","sklearn"
"19","11","numpy"
"20","11","sklearn"
"21","12","sklearn"
"22","13","numpy"
"23","13","sklearn"
"24","13","sklearn.metrics"
"25","13","matplotlib.pyplot"
"26","13","scipy"
"27","14","numpy"
"28","14","sklearn"
"29","14","sklearn.metrics"
"30","14","matplotlib.pyplot"
"31","14","scipy"
"32","15","numpy"
"33","15","sklearn"
"34","15","sklearn"
"35","16","numpy"
"36","16","matplotlib.pyplot"
"37","16","sklearn.metrics"
"38","16","sklearn"
"39","17","numpy"
"40","17","sklearn"
"41","17","sklearn.metrics"
"42","17","sklearn.model_selection"
"43","17","matplotlib.pyplot"
"44","18","numpy"
"45","18","matplotlib.pyplot"
"46","18","sklearn.metrics"
"47","18","sklearn"
"48","19","numpy"
"49","19","matplotlib.pyplot"
"50","19","sklearn.metrics"
"51","19","sklearn"
"52","20","numpy"
"53","20","matplotlib.pyplot"
"54","20","sklearn.metrics"
"55","20","sklearn"
"56","21","numpy"
"57","21","matplotlib.pyplot"
"58","21","sklearn.metrics"
"59","21","sklearn"
"60","22","PyQt5"
"61","22","csv"
"62","22","numpy"
"63","22","matplotlib"
"64","22","matplotlib.pyplot"
"65","23","numpy"
"66","24","numpy"
"67","24","matplotlib.pyplot"
"68","24","sklearn.linear_model"
"69","24","sklearn.metrics"
"70","25","numpy"
"71","25","matplotlib.pyplot"
"72","25","sklearn.linear_model"
"73","25","sklearn.metrics"
"74","26","numpy"
"75","26","sklearn"
"76","26","sklearn.metrics"
"77","26","matplotlib.pyplot"
"78","27","numpy"
"79","27","matplotlib.pyplot"
"80","27","sklearn"
"81","27","sklearn.metrics"
"82","27","sklearn.datasets"
"83","28","csv"
"84","28","numpy"
"85","28","sklearn"
"86","28","sklearn.metrics"
"87","28","sklearn.utils"
"88","29","numpy"
"89","29","matplotlib.pyplot"
"90","29","sklearn.metrics"
"91","29","sklearn"
"92","30","csv"
"93","30","numpy"
"94","30","sklearn"
"95","30","sklearn.metrics"
"96","30","sklearn.utils"
"97","31","numpy"
"98","31","matplotlib.pyplot"
"99","31","sklearn"
"100","31","sklearn.metrics"
"101","31","sklearn.preprocessing"
"102","31","sklearn.pipeline"
"103","32","numpy"
"104","32","sklearn"
"105","32","sklearn.metrics"
"106","32","sklearn.model_selection"
"107","32","matplotlib.pyplot"
"108","33","numpy"
"109","33","sklearn"
"110","33","sklearn.metrics"
"111","33","matplotlib.pyplot"
"112","34","math"
"113","34","numpy"
"114","35","csv"
"115","35","numpy"
"116","35","sklearn"
"117","35","sklearn.metrics"
"118","35","sklearn.utils"
"119","37","numpy"
"120","37","sklearn"
"121","37","sklearn.metrics"
"122","37","sklearn.model_selection"
"123","37","matplotlib.pyplot"
"124","38","matplotlib.pyplot"
"125","38","sklearn"
"126","39","numpy"
"127","39","matplotlib.pyplot"
"128","39","sklearn.metrics"
"129","39","sklearn.model_selection"
"130","39","sklearn"
"131","40","numpy"
"132","40","sklearn.model_selection"
"133","40","sklearn"
"134","40","sklearn.metrics"
"135","41","numpy"
"136","41","sklearn.model_selection"
"137","41","sklearn"
"138","41","sklearn.metrics"
"139","42","sklearn"
"140","43","pand"
"141","43","matplotlib.pyplot"
"142","45","sklearn"
"143","45","sklearn.neighbors"
"144","45","sklearn"
"145","45","numpy"
"146","46","numpy"
"147","46","matplotlib.pyplot"
"148","46","matplotlib.colors"
"149","46","sklearn"
"150","47","numpy"
"151","47","matplotlib.pyplot"
"152","47","sklearn"
"153","48","numpy"
"154","48","matplotlib.pyplot"
"155","48","sklearn.linear_model"
"156","48","sklearn.model_selection"
"157","48","sklearn.datasets"
"158","48","sklearn.metrics"
"159","49","numpy"
"160","49","sklearn"
"161","49","sklearn.model_selection"
"162","50","joblib"
"163","50","sklearn"
"164","50","sklearn"
"165","50","sklearn"
"166","50","matplotlib.pyplot"
"167","51","numpy"
"168","51","matplotlib.pyplot"
"169","51","sklearn"
"170","52","numpy"
"171","52","matplotlib.pyplot"
"172","52","sklearn"
"173","53","numpy"
"174","53","sklearn"
"175","54","numpy"
"176","56","numpy"
"177","57","numpy"
"178","58","sklearn"
"179","59","sklearn"
"180","60","numpy"
"181","60","sklearn.datasets"
"182","60","sklearn.model_selection"
"183","60","sklearn.svm"
"184","61","62"
"185","61","sklearn.metrics"
"186","61","sklearn.model_selection"
"187","61","sklearn.svm"
"188","61","sklearn.datasets"
"189","61","sklearn.model_selection"
"190","62","numpy"
"191","64","sys"
"192","64","math"
"193","64","operator"
"194","64","operator"
