"","project_files","project_names","file_sizes","file_types","import_counts"
"1","cookbook/__init__.py","__init__",86,"Python",0
"2","cookbook/c01/__init__.py","__init__",86,"Python",0
"3","cookbook/c01/p03_nitem.py","p03_nitem",753,"Python",1
"4","cookbook/c01/p04_nlargest.py","p04_nlargest",937,"Python",1
"5","cookbook/c01/p05_priority_queue.py","p05_priority_queue",414,"Python",1
"6","cookbook/c01/p06_multidict.py","p06_multidict",482,"Python",1
"7","cookbook/c01/p07_ordered_dict.py","p07_ordered_dict",299,"Python",1
"8","cookbook/c01/p08_calculate_dict.py","p08_calculate_dict",1289,"Python",0
"9","cookbook/c01/p09_dict_common.py","p09_dict_common",653,"Python",0
"10","cookbook/c01/p10_remove_duplicate.py","p10_remove_duplicate",874,"Python",0
"11","cookbook/c01/p11_naming_slice.py","p11_naming_slice",623,"Python",0
"12","cookbook/c01/p12_mostfreq_items.py","p12_mostfreq_items",705,"Python",1
"13","cookbook/c01/p13_sort_dictlist.py","p13_sort_dictlist",733,"Python",1
"14","cookbook/c01/p14_sort_nocompare.py","p14_sort_nocompare",734,"Python",1
"15","cookbook/c01/p15_group.py","p15_group",1153,"Python",3
"16","cookbook/c01/p16_filter.py","p16_filter",1197,"Python",1
"17","cookbook/c01/p17_subdict.py","p17_subdict",580,"Python",0
"18","cookbook/c01/p18_nameseq.py","p18_nameseq",1523,"Python",1
"19","cookbook/c01/p19_trans_reduce.py","p19_trans_reduce",1030,"Python",1
"20","cookbook/c01/p20_combine_map.py","p20_combine_map",1002,"Python",1
"21","cookbook/c02/__init__.py","__init__",86,"Python",0
"22","cookbook/c02/p01_splitstr.py","p01_splitstr",483,"Python",1
"23","cookbook/c02/p02_str_start.py","p02_str_start",1238,"Python",3
"24","cookbook/c02/p03_unix_match.py","p03_unix_match",915,"Python",1
"25","cookbook/c02/p04_match_search.py","p04_match_search",1800,"Python",1
"26","cookbook/c02/p05_search_replace.py","p05_search_replace",1026,"Python",2
"27","cookbook/c02/p06_case_insensitive.py","p06_case_insensitive",834,"Python",1
"28","cookbook/c02/p07_shortest_match.py","p07_shortest_match",519,"Python",1
"29","cookbook/c02/p08_multiline_match.py","p08_multiline_match",657,"Python",1
"30","cookbook/c02/p09_normal_unicode.py","p09_normal_unicode",1114,"Python",1
"31","cookbook/c02/p10_re_unicode.py","p10_re_unicode",673,"Python",1
"32","cookbook/c02/p11_strip.py","p11_strip",699,"Python",1
"33","cookbook/c02/p12_translate.py","p12_translate",1321,"Python",2
"34","cookbook/c02/p13_align_str.py","p13_align_str",736,"Python",0
"35","cookbook/c02/p14_join_str.py","p14_join_str",1182,"Python",0
"36","cookbook/c02/p15_var_string.py","p15_var_string",866,"Python",1
"37","cookbook/c02/p16_textwrap.py","p16_textwrap",716,"Python",2
"38","cookbook/c02/p17_html_xml.py","p17_html_xml",440,"Python",1
"39","cookbook/c02/p18_tokenize.py","p18_tokenize",2024,"Python",2
"40","cookbook/c02/p19_descent_parser.py","p19_descent_parser",4149,"Python",2
"41","cookbook/c02/p20_byte_str.py","p20_byte_str",813,"Python",1
"42","cookbook/c03/__init__.py","__init__",86,"Python",0
"43","cookbook/c03/p01_round.py","p01_round",719,"Python",0
